INFO:root:Step 0:	 LOSS 2.963195562362671 	 Top1 40.625 	 Top5 64.0625
INFO:root:Step 100:	 LOSS 2.3841278553009033 	 Top1 43.75 	 Top5 62.5
INFO:root:Step 200:	 LOSS 1.7027769088745117 	 Top1 53.125 	 Top5 82.8125
INFO:root:Step 300:	 LOSS 2.0850555896759033 	 Top1 56.25 	 Top5 73.4375
INFO:root:Step 400:	 LOSS 1.5576773881912231 	 Top1 54.6875 	 Top5 82.8125
INFO:root:Step 500:	 LOSS 1.8839457035064697 	 Top1 51.5625 	 Top5 82.8125
INFO:root:Step 600:	 LOSS 1.7086318731307983 	 Top1 51.5625 	 Top5 87.5
INFO:root:Step 700:	 LOSS 1.2525211572647095 	 Top1 75.0 	 Top5 87.5
INFO:root:Step 800:	 LOSS 1.2087903022766113 	 Top1 65.625 	 Top5 92.1875
INFO:root:Step 900:	 LOSS 1.4119818210601807 	 Top1 65.625 	 Top5 79.6875
INFO:root:Step 1000:	 LOSS 1.7021342515945435 	 Top1 59.375 	 Top5 76.5625
INFO:root:Step 1100:	 LOSS 1.935792088508606 	 Top1 53.125 	 Top5 79.6875
INFO:root:Step 1200:	 LOSS 1.5809515714645386 	 Top1 64.0625 	 Top5 81.25
INFO:root:Step 1300:	 LOSS 1.417807698249817 	 Top1 65.625 	 Top5 87.5
INFO:root:Step 1400:	 LOSS 0.9312745928764343 	 Top1 75.0 	 Top5 95.3125
INFO:root:Step 1500:	 LOSS 1.6857191324234009 	 Top1 57.8125 	 Top5 78.125
INFO:root:Step 1600:	 LOSS 1.6214354038238525 	 Top1 60.9375 	 Top5 82.8125
INFO:root:Step 1700:	 LOSS 1.1708393096923828 	 Top1 60.9375 	 Top5 93.75
INFO:root:Step 1800:	 LOSS 0.6585221886634827 	 Top1 82.8125 	 Top5 98.4375
INFO:root:Step 1900:	 LOSS 1.580802321434021 	 Top1 60.9375 	 Top5 84.375
INFO:root:Step 2000:	 LOSS 1.967038869857788 	 Top1 46.875 	 Top5 76.5625
INFO:root:Step 2100:	 LOSS 0.8920164108276367 	 Top1 76.5625 	 Top5 95.3125
INFO:root:Step 2200:	 LOSS 0.8366653323173523 	 Top1 78.125 	 Top5 95.3125
INFO:root:Step 2300:	 LOSS 1.5077452659606934 	 Top1 68.75 	 Top5 81.25
INFO:root:Step 2400:	 LOSS 1.4578031301498413 	 Top1 64.0625 	 Top5 82.8125
INFO:root:Step 2500:	 LOSS 1.9760373830795288 	 Top1 48.4375 	 Top5 75.0
INFO:root:Step 2600:	 LOSS 1.4877817630767822 	 Top1 57.8125 	 Top5 87.5
INFO:root:Step 2700:	 LOSS 1.257843017578125 	 Top1 65.625 	 Top5 87.5
INFO:root:Step 2800:	 LOSS 0.7661969065666199 	 Top1 82.8125 	 Top5 93.75
INFO:root:Step 2900:	 LOSS 1.0571454763412476 	 Top1 70.3125 	 Top5 92.1875
INFO:root:Step 3000:	 LOSS 1.7174791097640991 	 Top1 46.875 	 Top5 84.375
INFO:root:Step 3100:	 LOSS 0.9682915210723877 	 Top1 71.875 	 Top5 95.3125
DEBUG:root:Epoch: 0	Loss: 1.2244272232055664	Top1 accuracy: 71.875
INFO:root:Step 3200:	 LOSS 1.1506004333496094 	 Top1 59.375 	 Top5 92.1875
INFO:root:Step 3300:	 LOSS 0.8055364489555359 	 Top1 81.25 	 Top5 90.625
INFO:root:Step 3400:	 LOSS 1.478367805480957 	 Top1 56.25 	 Top5 90.625
INFO:root:Step 3500:	 LOSS 1.510124683380127 	 Top1 68.75 	 Top5 84.375
INFO:root:Step 3600:	 LOSS 0.8492735028266907 	 Top1 82.8125 	 Top5 95.3125
INFO:root:Step 3700:	 LOSS 1.2758193016052246 	 Top1 64.0625 	 Top5 92.1875
INFO:root:Step 3800:	 LOSS 0.8764792084693909 	 Top1 75.0 	 Top5 93.75
INFO:root:Step 3900:	 LOSS 1.4438930749893188 	 Top1 60.9375 	 Top5 76.5625
INFO:root:Step 4000:	 LOSS 0.8195903301239014 	 Top1 75.0 	 Top5 96.875
INFO:root:Step 4100:	 LOSS 0.8521768450737 	 Top1 78.125 	 Top5 98.4375
INFO:root:Step 4200:	 LOSS 0.8723627924919128 	 Top1 78.125 	 Top5 92.1875
INFO:root:Step 4300:	 LOSS 1.473219633102417 	 Top1 64.0625 	 Top5 79.6875
INFO:root:Step 4400:	 LOSS 1.2997260093688965 	 Top1 65.625 	 Top5 84.375
INFO:root:Step 4500:	 LOSS 1.0714167356491089 	 Top1 68.75 	 Top5 93.75
INFO:root:Step 4600:	 LOSS 1.5400975942611694 	 Top1 59.375 	 Top5 85.9375
INFO:root:Step 4700:	 LOSS 1.2543120384216309 	 Top1 68.75 	 Top5 89.0625
INFO:root:Step 4800:	 LOSS 0.7584463357925415 	 Top1 81.25 	 Top5 96.875
INFO:root:Step 4900:	 LOSS 0.9093970656394958 	 Top1 73.4375 	 Top5 95.3125
INFO:root:Step 5000:	 LOSS 1.8638249635696411 	 Top1 59.375 	 Top5 75.0
INFO:root:Step 5100:	 LOSS 1.206297516822815 	 Top1 78.125 	 Top5 87.5
INFO:root:Step 5200:	 LOSS 0.7206133604049683 	 Top1 78.125 	 Top5 93.75
INFO:root:Step 5300:	 LOSS 1.098806619644165 	 Top1 68.75 	 Top5 93.75
INFO:root:Step 5400:	 LOSS 0.7458969354629517 	 Top1 79.6875 	 Top5 96.875
INFO:root:Step 5500:	 LOSS 1.4790449142456055 	 Top1 70.3125 	 Top5 82.8125
INFO:root:Step 5600:	 LOSS 1.4099397659301758 	 Top1 65.625 	 Top5 85.9375
INFO:root:Step 5700:	 LOSS 1.132633090019226 	 Top1 67.1875 	 Top5 90.625
INFO:root:Step 5800:	 LOSS 1.0559706687927246 	 Top1 67.1875 	 Top5 95.3125
INFO:root:Step 5900:	 LOSS 1.2832581996917725 	 Top1 62.5 	 Top5 87.5
INFO:root:Step 6000:	 LOSS 0.7403555512428284 	 Top1 81.25 	 Top5 95.3125
INFO:root:Step 6100:	 LOSS 0.6230836510658264 	 Top1 89.0625 	 Top5 98.4375
INFO:root:Step 6200:	 LOSS 1.1459776163101196 	 Top1 71.875 	 Top5 89.0625
DEBUG:root:Epoch: 1	Loss: 1.4069255590438843	Top1 accuracy: 71.875
