INFO:root:Step 0:	 LOSS 2.963195562362671 	 Top1 40.625 	 Top5 64.0625
INFO:root:Step 100:	 LOSS 1.5546789169311523 	 Top1 70.3125 	 Top5 81.25
INFO:root:Step 200:	 LOSS 0.525290310382843 	 Top1 85.9375 	 Top5 96.875
INFO:root:Step 300:	 LOSS 1.174159288406372 	 Top1 76.5625 	 Top5 87.5
INFO:root:Step 400:	 LOSS 1.0355697870254517 	 Top1 75.0 	 Top5 92.1875
INFO:root:Step 500:	 LOSS 0.8494409918785095 	 Top1 78.125 	 Top5 92.1875
INFO:root:Step 600:	 LOSS 0.7675110101699829 	 Top1 84.375 	 Top5 92.1875
INFO:root:Step 700:	 LOSS 0.6615660786628723 	 Top1 79.6875 	 Top5 98.4375
INFO:root:Step 800:	 LOSS 0.4518725872039795 	 Top1 89.0625 	 Top5 100.0
INFO:root:Step 900:	 LOSS 0.973879337310791 	 Top1 76.5625 	 Top5 87.5
INFO:root:Step 1000:	 LOSS 0.755743145942688 	 Top1 89.0625 	 Top5 93.75
INFO:root:Step 1100:	 LOSS 0.7734477519989014 	 Top1 81.25 	 Top5 93.75
INFO:root:Step 1200:	 LOSS 0.7334274053573608 	 Top1 82.8125 	 Top5 90.625
INFO:root:Step 1300:	 LOSS 0.504639744758606 	 Top1 89.0625 	 Top5 93.75
INFO:root:Step 1400:	 LOSS 0.6393386721611023 	 Top1 89.0625 	 Top5 93.75
INFO:root:Step 1500:	 LOSS 0.7734320759773254 	 Top1 81.25 	 Top5 92.1875
INFO:root:Step 1600:	 LOSS 0.7889231443405151 	 Top1 84.375 	 Top5 89.0625
INFO:root:Step 1700:	 LOSS 0.282350093126297 	 Top1 92.1875 	 Top5 100.0
INFO:root:Step 1800:	 LOSS 0.27990037202835083 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 1900:	 LOSS 0.6609755754470825 	 Top1 85.9375 	 Top5 95.3125
INFO:root:Step 2000:	 LOSS 0.9305455684661865 	 Top1 73.4375 	 Top5 92.1875
INFO:root:Step 2100:	 LOSS 0.14862902462482452 	 Top1 98.4375 	 Top5 100.0
INFO:root:Step 2200:	 LOSS 0.33751174807548523 	 Top1 90.625 	 Top5 98.4375
INFO:root:Step 2300:	 LOSS 0.6272708177566528 	 Top1 84.375 	 Top5 93.75
INFO:root:Step 2400:	 LOSS 0.7316307425498962 	 Top1 79.6875 	 Top5 95.3125
INFO:root:Step 2500:	 LOSS 0.6687248349189758 	 Top1 85.9375 	 Top5 93.75
INFO:root:Step 2600:	 LOSS 1.0565913915634155 	 Top1 79.6875 	 Top5 90.625
INFO:root:Step 2700:	 LOSS 0.5848965048789978 	 Top1 85.9375 	 Top5 93.75
INFO:root:Step 2800:	 LOSS 0.21360042691230774 	 Top1 93.75 	 Top5 100.0
INFO:root:Step 2900:	 LOSS 0.5244088172912598 	 Top1 85.9375 	 Top5 95.3125
INFO:root:Step 3000:	 LOSS 0.5919245481491089 	 Top1 81.25 	 Top5 95.3125
INFO:root:Step 3100:	 LOSS 0.16067706048488617 	 Top1 96.875 	 Top5 100.0
DEBUG:root:Epoch: 0	Loss: 0.3505503535270691	Top1 accuracy: 96.875
INFO:root:Step 3200:	 LOSS 0.45578116178512573 	 Top1 85.9375 	 Top5 100.0
INFO:root:Step 3300:	 LOSS 0.27556538581848145 	 Top1 89.0625 	 Top5 100.0
INFO:root:Step 3400:	 LOSS 0.374711275100708 	 Top1 93.75 	 Top5 96.875
INFO:root:Step 3500:	 LOSS 0.685727059841156 	 Top1 81.25 	 Top5 92.1875
INFO:root:Step 3600:	 LOSS 0.4145928621292114 	 Top1 90.625 	 Top5 95.3125
INFO:root:Step 3700:	 LOSS 0.5930479168891907 	 Top1 90.625 	 Top5 92.1875
INFO:root:Step 3800:	 LOSS 0.34951379895210266 	 Top1 89.0625 	 Top5 98.4375
INFO:root:Step 3900:	 LOSS 0.8004999756813049 	 Top1 85.9375 	 Top5 92.1875
INFO:root:Step 4000:	 LOSS 0.13966168463230133 	 Top1 96.875 	 Top5 100.0
INFO:root:Step 4100:	 LOSS 0.2538966238498688 	 Top1 93.75 	 Top5 98.4375
INFO:root:Step 4200:	 LOSS 0.48071932792663574 	 Top1 85.9375 	 Top5 98.4375
INFO:root:Step 4300:	 LOSS 1.069936752319336 	 Top1 71.875 	 Top5 87.5
INFO:root:Step 4400:	 LOSS 0.5140256285667419 	 Top1 85.9375 	 Top5 95.3125
INFO:root:Step 4500:	 LOSS 0.21442995965480804 	 Top1 96.875 	 Top5 100.0
INFO:root:Step 4600:	 LOSS 0.47932934761047363 	 Top1 85.9375 	 Top5 98.4375
